Geneid	4N_ZFP821_WT_RNA_seq_rep1	4N_ZFP821_WT_RNA_seq_rep2	4N_ZFP821_KO_RNA_seq_rep1	4N_ZFP821_KO_RNA_seq_rep2
TrnP	8	7	11	11
TrnT	2	2	14	4
CYTB	23327	22448	20546	22810
TrnE	0	3	1	0
ND6	1999	2224	2779	2919
ND5	15405	14958	15555	15820
TrnL2	0	0	0	0
TrnS2	0	0	0	0
TrnH	0	0	0	0
ND4	13296	12830	10827	12144
ND4L	0	1	0	1
TrnR	0	0	0	0
ND3	1	7	7	8
TrnG	0	0	0	1
COX3	0	0	0	0
ATP6	0	0	0	0
ATP8	0	0	0	0
TrnK	0	0	0	0
COX2	0	0	0	3
TrnD	0	0	0	0
TrnS1	0	0	0	0
COX1	185512	193170	162012	176437
TrnY	0	1	3	4
TrnC	0	0	0	0
TrnN	0	1	0	0
TrnA	0	0	0	0
TrnW	21	16	15	14
ND2	10750	9946	11118	13054
TrnM	0	2	1	0
TrnQ	2	2	4	4
TrnI	3	0	1	0
ND1	20754	20402	21198	26458
TrnL1	0	7	8	16
mt-Rnr2	440848	419736	330242	367560
TrnV	0	0	0	0
mt-Rnr1	48038	36612	48210	53824
TrnF	0	0	0	0
Cbx7	2685	2773	3195	2460
Apobec3	24	31	35	25
Pacs2	1391	1501	1873	1947
Tex22	5443	5658	8710	7780
Mta1	6086	6619	7090	6677
F930026P19Rik	79	106	135	144
Crip2	469	456	706	748
Gm30599	4	3	5	3
Crip1	40	42	34	62
Tedc1	3843	4172	5961	5344
Mup20	0	0	0	0
Mup3	0	0	0	0
Gm12909	0	0	0	2
Mup21	0	0	0	0
Zfp37	834	895	749	872
Gm30451	6	18	7	7
LOC108168693	236	246	484	425
Mup-ps21	0	0	2	1
Mup-ps19	0	0	0	0
Mup-ps18	0	0	0	0
Mup-ps23	0	0	0	0
Mup5	0	0	0	0
Mup-ps16	0	0	0	0
Mup19	0	0	0	0
Mup-ps14	0	0	0	0
Mup13	0	0	0	0
Mup-ps4	0	0	0	0
Mup9	0	0	0	0
Mup-ps28	0	0	0	0
Mup-ps29	0	0	0	0
Mup2	0	0	0	0
Mup7	0	0	0	0
Mup-ps1	0	2	0	1
Mup6	0	0	0	0
Mup4	0	0	0	0
Slc46a2	0	0	1	0
Snx30	119	116	242	330
Slc1a1	3	8	4	10
Igf2r	1085	1103	2255	2371
Gm7162	0	1	0	1
Mas1	204	224	169	222
Airn	1	3	1	4
Rcc2	4332	4515	5592	5845
Padi6	16	24	17	12
Padi4	9	11	18	25
Gm52482	17	13	10	8
Padi3	152	169	211	314
Gm13032	1	0	2	2
Padi1	12	20	21	25
4930515B02Rik	8	14	16	7
Gm46719	2	6	2	4
Gm26226	0	0	0	1
Gm34375	0	1	0	2
Padi2	22	37	43	53
Gm13031	4	8	10	11
Gm34431	0	0	0	0
Tcl1b3	0	0	0	0
LOC115489384	0	0	0	0
Tcl1b5	0	0	0	0
Tcl1b1	0	0	0	0
Tcl1b2	0	0	0	1
Gm6726	0	0	0	2
Esp36	0	0	0	0
Olfr136	0	0	0	0
Olfr762-ps1	0	0	0	0
Olfr137	0	0	0	0
Olfr138	0	0	0	0
Olfr135	0	0	0	0
Olfr134	0	0	0	0
Olfr133	0	0	0	0
Olfr132	0	0	0	0
Olfr131	0	0	0	0
Gm18833	0	0	0	0
Olfr130	0	0	0	0
Olfr129	0	0	0	0
Gm4325	0	1	5	2
Gm18522	0	0	0	0
Olfr761	0	0	1	3
Gm5967	1	0	0	0
Olfr128	7	7	2	7
Olfr127	3	0	0	2
Gm18520	0	0	0	0
Gm18737	1	0	0	1
Olfr126	1	1	0	0
Gm9577	6	0	0	0
Olfr125	0	0	0	0
Olfr124	0	0	0	0
Olfr123	0	0	0	0
Gm18268	0	0	0	0
Olfr122	0	0	0	0
Olfr121	0	0	0	0
Olfr120	0	0	0	0
Gm7335	0	1	1	0
Olfr119	0	0	0	0
Olfr118	0	0	0	0
Olfr117	0	0	0	0
Olfr116	0	0	0	0
Olfr115	0	0	0	0
Gm18213	0	0	0	0
Olfr114	0	0	0	0
Olfr113	0	0	0	0
Olfr112	40	44	39	34
Olfr111	0	0	0	0
Olfr110	0	0	1	0
H2-M2	0	0	0	0
Olfr109	0	0	0	0
Olfr760-ps1	0	0	0	0
Olfr108	0	0	0	0
Gm18808	0	0	0	0
Olfr759-ps1	0	0	0	0
