Geneid	RS_ZFP821_WT_RNA_seq_rep1	RS_ZFP821_WT_RNA_seq_rep2	RS_ZFP821_KO_RNA_seq_rep1	RS_ZFP821_KO_RNA_seq_rep2
TrnP	1	3	1	0
TrnT	0	0	0	0
CYTB	433	315	436	549
TrnE	0	1	0	2
ND6	108	102	58	65
ND5	191	145	204	269
TrnL2	0	0	0	0
TrnS2	0	0	0	0
TrnH	0	0	0	0
ND4	92	53	100	151
ND4L	0	0	0	0
TrnR	0	1	0	1
ND3	0	1	0	0
TrnG	0	0	0	0
COX3	1	0	0	0
ATP6	0	0	0	0
ATP8	0	0	0	0
TrnK	0	0	0	0
COX2	0	0	0	0
TrnD	0	0	0	0
TrnS1	0	0	0	0
COX1	14977	12135	12556	17592
TrnY	8	6	1	3
TrnC	0	0	1	0
TrnN	0	0	0	0
TrnA	0	1	0	1
TrnW	4	3	6	9
ND2	44	28	29	66
TrnM	13	6	5	10
TrnQ	7	7	1	2
TrnI	0	0	0	0
ND1	855	586	671	939
TrnL1	0	0	0	0
mt-Rnr2	5319	2120	1287	1420
TrnV	0	0	0	0
mt-Rnr1	5120	2561	1209	1186
TrnF	0	0	0	0
Cbx7	4329	4373	2387	2561
Apobec3	357	201	87	102
Pacs2	31840	32582	20103	23764
Tex22	25026	22854	10471	11442
Mta1	9288	8888	5098	6149
F930026P19Rik	1815	1657	1297	1478
Crip2	9615	9802	4862	5287
Gm30599	73	44	31	40
Crip1	105	100	106	111
Tedc1	6881	6954	3454	3979
Mup20	0	0	0	0
Mup3	3	2	1	1
Gm12909	0	0	0	0
Mup21	1	0	2	1
Zfp37	5442	4719	6035	7523
Gm30451	125	112	64	103
LOC108168693	106	101	76	82
Mup-ps21	0	0	0	0
Mup-ps19	0	0	0	0
Mup-ps18	0	0	0	3
Mup-ps23	0	0	0	0
Mup5	0	0	0	0
Mup-ps16	0	0	0	0
Mup19	0	0	0	0
Mup-ps14	0	0	0	0
Mup13	0	0	0	0
Mup-ps4	0	0	0	0
Mup9	0	0	0	0
Mup-ps28	0	0	0	0
Mup-ps29	0	0	0	0
Mup2	0	0	0	0
Mup7	0	0	0	0
Mup-ps1	1	0	1	1
Mup6	0	0	0	0
Mup4	0	0	0	0
Slc46a2	0	0	0	0
Snx30	67	93	58	71
Slc1a1	4	4	6	6
Igf2r	388	334	212	257
Gm7162	24	30	92	89
Mas1	6947	6197	6257	7553
Airn	7	2	4	9
Rcc2	3387	3039	1212	1231
Padi6	263	224	171	174
Padi4	87	107	44	61
Gm52482	29	28	7	10
Padi3	480	435	220	256
Gm13032	0	1	0	0
Padi1	66	51	25	40
4930515B02Rik	378	328	214	271
Gm46719	54	31	22	22
Gm26226	0	0	0	0
Gm34375	12	8	9	9
Padi2	52	66	34	35
Gm13031	5	4	13	4
Gm34431	0	0	0	0
Tcl1b3	1	0	0	0
LOC115489384	0	0	0	0
Tcl1b5	0	0	0	0
Tcl1b1	1	2	0	1
Tcl1b2	1	9	4	7
Gm6726	11	7	8	20
Esp36	0	0	0	0
Olfr136	0	0	0	0
Olfr762-ps1	0	0	0	0
Olfr137	0	0	0	0
Olfr138	0	0	2	1
Olfr135	0	0	0	0
Olfr134	0	0	0	0
Olfr133	0	0	0	0
Olfr132	0	0	0	0
Olfr131	0	0	0	0
Gm18833	0	0	0	0
Olfr130	0	0	0	0
Olfr129	0	0	0	0
Gm4325	0	0	0	2
Gm18522	0	0	0	0
Olfr761	15	14	9	15
Gm5967	1	1	3	1
Olfr128	186	151	90	131
Olfr127	43	22	14	20
Gm18520	0	0	0	0
Gm18737	2	7	8	7
Olfr126	10	8	6	11
Gm9577	4	3	8	15
Olfr125	0	0	0	0
Olfr124	0	0	0	0
Olfr123	0	0	0	0
Gm18268	1	0	0	0
Olfr122	0	0	0	1
Olfr121	0	0	0	0
Olfr120	0	0	0	0
Gm7335	0	0	0	1
Olfr119	0	0	0	0
